Id,Projectnaamafkorting,Buurtcode,Buurtnaam,Wijkcode,Wijknaam,Gebiedcode,Gebiednaam,Stadsdeelcode,Stadsdeelnaam,Zelfbouw,Socialehuurcorporatie,Plaberumpublicatie,Startbouwgepland,Startbouwgerealiseerd,Socialehuurzelfstperm,Middeldurehuur,Socialekoop,Vrijesectorhuur,Vrijesectorkoop,Vrijesectornb,Onbekend,Jongeren,Studenten,Shonzelfstenoftijdelijk,Onzelfstandig,Tijdelijk,Totaal,Totaalzelfstperm,Peildatum,Geometrie
1005,Zuidas/Ravel_ontwikkelveld_2 - Ravel ontwikkelveld 2 fase 4 kavels I J: bouw indicatief,KP05,Vivaldi,KP,Zuidas,GK12,"Buitenveldert, Zuidas",K,Zuid,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2034-03-24,,0,196,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,196,196,2023-07-01,"SRID=28992;MULTIPOLYGON (((120614.4050654504 483195.8390556007, 120648.3282566915 483203.2404791443, 120676.0835949798 483235.3133144996, 120669.9157420268 483237.7804556807, 120663.7478890739 483238.0888483284, 120613.7882801551 483239.6308115666, 120614.4050654504 483195.8390556007)))"
1006,Zuidas/Verdi - IJsbaanpad noordzone kavel 4,KH06,IJsbaanpad e.o.,KH,Stadionbuurt,GK11,Oud-Zuid,K,Zuid,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2026-06-15,,47,0,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,47,47,2023-07-01,"SRID=28992;MULTIPOLYGON (((118641.4297085573 483877.1161058079, 118646.9058354048 483852.6079475305, 118705.4741948936 483865.5294373203, 118721.2892773365 483866.091995778, 118731.5071558092 483865.4494954697, 118760.1684624745 483861.3447568307, 118763.8859567909 483885.0175841626, 118745.7313307802 483899.9605768859, 118641.4297085573 483877.1161058079)))"
1009,Zuidas/Verdi - NO-kwadrant lokatie Tripolis transformatie gebouw 100 bouw woningen incl maaiveld,KH06,IJsbaanpad e.o.,KH,Stadionbuurt,GK11,Oud-Zuid,K,Zuid,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2024-04-02,,120,0,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,120,120,2023-07-01,"SRID=28992;MULTIPOLYGON (((118827.7781734309 483852.6153671136, 118879.7859515223 483843.5558932184, 118888.2113732712 483851.28305472, 118886.57855461 483907.5966232824, 118837.1724483765 483897.7214148287, 118834.9097649616 483895.8464232899, 118827.7781734309 483852.6153671136)))"
1011,Zuidas/Verdi-PompstationAmstelveenseweg:wijzigingerfpachtwoningbouwinclmaaiveldindicatief,KQ02,Zuiderhof,KQ,Buitenveldert-West,GK12,"Buitenveldert, Zuidas",K,Zuid,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2030-01-21,,119,119,0,0,60,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,298,298,2023-07-01,"SRID=28992;MULTIPOLYGON (((118839.2619844739 483307.9857108043, 118836.4814886502 483309.8976181422, 118832.8117269821 483311.3709652632, 118828.6567392212 483311.7351882578, 118825.2441205402 483311.0925673862, 118822.3105103093 483309.7788334651, 118818.8840373328 483307.2447633235, 118815.3728117824 483303.3761009212, 118813.4424757888 483300.3860049272, 118811.0893536003 483295.5074515173, 118809.2765758153 483289.9573332735, 118808.2813589262 483285.291370069, 118807.6348409147 483279.8439769893, 118807.5143075394 483273.6249819654, 118808.0828753109 483267.5010800213, 118809.141867603 483262.263729165, 118810.6726827693 483257.2343315301, 118812.6847454454 483252.7688759218, 118815.3791815864 483248.4096913186, 118817.2038974964 483246.2822364771, 118819.4980734424 483244.0400763921, 118821.9462674731 483242.3531292308, 118826.3641597938 483240.6517610387, 118830.1792438592 483240.4012931123, 118832.8405700961 483240.8268817315, 118835.4378124836 483241.8092805257, 118839.2740692844 483244.4516307997, 118842.8010575664 483242.0891906103, 118846.1393541627 483240.9520809956, 118848.3860461114 483240.6018367382, 118851.4546759372 483240.8019191286, 118855.1372161959 483241.9989233206, 118858.3551787877 483243.9782042737, 118860.0696479602 483245.4121455807, 118863.7825985287 483249.8357035578, 118866.6204064918 483254.8220044207, 118868.9713342482 483261.2694774143, 118870.3951823083 483267.7014776018, 118871.0437669842 483274.372810244, 118870.9598366021 483280.604428078, 118870.5709416015 483284.2791137641, 118869.8648923507 483288.3900638328, 118868.4643352299 483293.5297582228, 118866.3957827873 483298.6632118809, 118864.5655726226 483301.9033682799, 118862.616246526 483304.6993249367, 118859.7075696409 483307.7248360701, 118856.2427739417 483310.1980777743, 118851.8242015123 483311.7992837742, 118848.0150915846 483311.9272970714, 118845.0114848089 483311.2927963837, 118842.4066509127 483310.1991804125, 118839.2619844739 483307.9857108043)))"
1020,IJburg 2/Centrumeiland_Tranche 5_Blok 16 - Realiseren_SIHK,MK04,Centrumeiland,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2027-07-12,,0,0,0,0,110,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,110,110,2023-07-01,"SRID=28992;MULTIPOLYGON (((129779.7278325155 484806.8755434867, 129776.0236588636 484814.0155002456, 129786.8852997961 484819.5233549533, 129782.4998517186 484828.0131066706, 129761.0519497794 484817.552364479, 129769.0024233791 484801.3670084798, 129779.7278325155 484806.8755434867)))"
1025,IJburg 2/Centrumeiland_Tranche 4_Blok 2 - Realiseren_CPO (02-03),MK04,Centrumeiland,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2024-12-24,,0,0,0,0,20,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,20,20,2023-07-01,"SRID=28992;MULTIPOLYGON (((129556.6861244239 485091.1922859229, 129562.4278068818 485080.258606721, 129581.9673668377 485090.7283074677, 129568.8172726632 485117.0548640999, 129559.3226378752 485112.3193113766, 129558.092868071 485111.6580483046, 129566.1819481552 485096.1503602659, 129556.6861244239 485091.1922859229)))"
1031,IJburg2/Centrumeiland_Tranche2_Blok4-Realiseren_IND(4-11),MK04,Centrumeiland,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2023-09-01,,0,0,0,0,1,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,1,1,2023-07-01,"SRID=28992;MULTIPOLYGON (((129439.1706764793 484934.1346756878, 129444.0340535119 484924.6518694017, 129454.479647041 484930.0498812288, 129449.5549367709 484939.5329945125, 129439.1706764793 484934.1346756878)))"
1034,IJburg 2/Centrumeiland_Tranche 4_Blok 5 - Realiseren_MO (05-13),MK04,Centrumeiland,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2026-01-07,,0,0,0,0,23,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,23,23,2023-07-01,"SRID=28992;MULTIPOLYGON (((129532.3857249075 485013.6536246385, 129547.2930411668 484984.5473884183, 129571.6731292578 484996.8613800503, 129566.2708931829 485007.5818919557, 129554.8626463904 485001.7435389591, 129545.2826627078 485020.1518508932, 129532.3857249075 485013.6536246385)))"
1040,Overamstel/Amstelkwartier 2e fase_monument J Assistent Directeurswoning - verbouwing OA/AK_2 monument J,MQ05,Amstelkwartier-Noord,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2026-02-26,,0,0,0,0,0,1,0,n.b.,n.b.,n.b.,n.b.,n.b.,1,1,2023-07-01,"SRID=28992;MULTIPOLYGON (((122707.5148399562 483530.0920950813, 122722.7679410017 483538.459850227, 122713.2091697737 483555.6463349714, 122698.559546055 483547.8421263697, 122707.5148399562 483530.0920950813)))"
1041,NDSM_Kavel  B7 - Bouw woningen en voorzieningen B7_1 (bouwtijd = 30 maanden 25 jr),NB03,NDSM terrein,NB,Noordelijke IJ-oevers-West,GN19,Oud-Noord,N,Noord,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2025-06-16,,93,0,0,0,0,93,0,n.b.,n.b.,n.b.,n.b.,n.b.,186,186,2023-07-01,"SRID=28992;MULTIPOLYGON (((121172.0896215291 490728.4065036637, 121119.6940708183 490769.056741098, 121067.5123015823 490702.1979644519, 121119.7705875972 490661.3367120739, 121172.0896215291 490728.4065036637)))"
